koi_pdisposition,koi_fpflag_nt,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_insol,koi_model_snr,koi_slogg,koi_srad
1.0000000001,1e-10,5.410348297954897e-05,-3.3078107275250006,-2.9177891435514787,-6.241500755522785,2.3858833933788118e-05,1.038050043381195e-05,-3.367715586723799,-0.16483383496533457,0.0032985349065048153
1.0000000001,1e-10,0.00014638740590253128,-3.0158338042832855,-3.934794909389714,-7.141759336098704,9.234128823746448e-06,5.171104404732105e-07,-5.497422244882161,-0.13296732367894987,0.0019625847935800422
1.0000000001,1e-10,7.556731473785532e-05,-4.451036089512368,-4.6554272459978705,-7.28851813414347,9.134301485111352e-06,1.2268579886139959e-06,-5.699891496502929,-0.13296732367894987,0.0019625847935800422
1.0000000001,1e-10,9.347809838211466e-05,-3.1449213497082065,-3.585936504459997,-7.427530312086064,1.287782668392748e-05,4.538099767263091e-06,-5.5330913202026375,-0.15446418882056254,0.0027893943097224098
1.0000000001,1e-10,0.00033541588288519425,-3.761917336742937,-3.021241172338316,-7.826253983581961,1.3926013739595995e-05,1.7146381568343041e-06,-4.68380025058828,-0.19866656114396852,0.003929521116192412
1e-10,1e-10,2.3847616353992794e-05,-3.2751003909468186,-3.6060987961040167,-7.661616077437729,0.00010716474802477634,2.4541653894335242e-05,-5.447477569554924,-0.16594334356676155,0.0030548436806944333
1.0000000001,1e-10,1.0652678678252891e-05,-3.3113345515465236,-4.206864833333159,-6.8576498271864885,0.00016147082024226897,0.00012385241731957894,-4.47050190033631,-0.19774934025886318,0.0037598075839316097
1.0000000001,1e-10,1.899814875922373e-05,-3.30700356811861,-3.846304117501406,-7.517780204579064,1.5173855472534703e-05,8.776307899333143e-05,-4.944374001061728,-0.1904417032640827,0.00420802537426142
1.0000000001,1e-10,5.361882507768205e-05,-3.2523121641398847,-3.545214577629421,-7.39131854153332,1.617212885888567e-05,2.380267607394155e-05,-5.169457413650118,-0.1904417032640827,0.00420802537426142
1e-10,1e-10,0.00010721898247170417,-3.2777849491487228,-4.033471908352418,-8.11719224262039,8.984560477158707e-06,5.512746657695805e-06,-6.695125379755169,-0.16861119752763878,0.003346402825860426
1.0000000001,1e-10,6.331409357209645e-05,-3.2269342293400234,-3.947769310175401,-7.223997423504393,1.252843099870464e-05,6.891136683621732e-06,-5.248206458641897,-0.15798222235183035,0.0029547562129508837
1.0000000001,1e-10,0.00046291671967488133,-3.1042623434933296,-3.3239491499334624,-7.411620027287855,1.1380416604401028e-05,5.015818583388561e-07,-6.110319378788462,-0.15798222235183035,0.0029547562129508837
1.0000000001,1e-10,9.515768870330616e-05,-3.1087471757717857,-3.30199421894187,-5.531239965266441,3.653690594044541e-05,6.955991350182859e-06,-3.4862999683195155,-0.1755362782568852,0.0035248196161858842
1e-10,1e-10,9.169086971127172e-06,-3.2995720619569555,-4.323848187985696,-6.659219885685412,0.0002320986623265999,0.00029315141387036567,-4.3871975151546865,-0.24227403278537166,0.00535250380976375
1e-10,1e-10,7.751722660954459e-05,-3.242842954198223,-3.6000020244249655,-7.477756147481625,0.0001423039712243304,1.2720749106059945e-05,-5.468203699585818,-0.19797856662087057,0.004138399309744168
1.0000000001,1e-10,1.7672557561530287e-05,-3.314284506086037,-4.065281100404249,-8.302518894471005,9.883006524874577e-06,6.78773594012788e-05,-5.450044965000486,-0.211596780542174,0.004147102567808824
1.0000000001,1e-10,5.022073075307607e-05,-3.2961085888739405,-4.221566311722976,-7.075009791633917,1.3426877046420511e-05,9.396719083300206e-06,-5.183142866493101,-0.142898320668469,0.002480428648427104
1e-10,1e-10,1.5574567167094272e-06,-3.3104175057510767,-4.224128141858199,-4.945555595510929,0.00013691329493803518,0.0002472023393348111,-3.408257261557878,-0.13813640690877335,0.0022933086000369893
1.0000000001,1e-10,7.64622749578824e-05,-3.1728771411132706,-3.6904114415623543,-5.592795516893388,3.81840570279245e-05,9.400372867331818e-06,-3.898279755783606,-0.1681660606407507,0.0031636344065026395
1.0000000001,1e-10,0.0001524554945530316,-3.915375552404577,-3.7465137029870506,-6.938520752409893,9.383869831699093e-06,3.654784031612795e-07,-5.549993130574119,-0.12185847199023696,0.001671025648414049
1.0000000001,1e-10,0.00035341501387047887,-3.4088933794507517,-3.381945386026461,-7.007766924442996,8.734992130570966e-06,1.2067487304322224e-07,-5.852942666054499,-0.12185847199023696,0.001671025648414049
1.0000000001,1e-10,0.00018260823782254796,-3.912727447970767,-3.263265553150329,-9.603809271070372,6.139481326058449e-06,3.831092557146015e-06,-6.271960722441675,-0.19866656114396852,0.003929521116192412
1.0000000001,1e-10,5.8334250054824016e-05,-4.434631250797618,-4.17278551990527,-7.992835265463973,5.590430963565417e-06,1.2834916411039944e-06,-6.3447200727277675,-0.12185847199023696,0.001671025648414049
1.0000000001,1e-10,2.8109480350801102e-05,-3.2970892395041207,-4.11581716926316,-5.195123444511504,3.623742392454012e-05,2.207078244295709e-05,-3.195376402768114,-0.15688150677577364,0.002893833406498288
1.0000000001,1e-10,0.00017019534440534354,-3.2030540452638547,-3.2867511194002494,-7.3537341114689765,1.1180761927130834e-05,1.7767524853717215e-06,-5.642183180557992,-0.15183376205209564,0.002719768245205158
1.0000000001,1e-10,1.0644154916365804e-05,-3.291126356983716,-4.081646077742626,-5.2648873395858296,4.816679089143418e-05,0.0001340400806457233,-2.426802580431644,-0.21812513200910358,0.004338574245231267
1.0000000001,1e-10,0.00014907063651365177,-3.0924905913268432,-4.262031648453806,-4.261982695097386,6.748338091732538e-05,3.6895084259210195e-06,-3.2806241106529463,-0.179129365436716,0.003463896809733289
1e-10,1.0000000001,5.617277061144474e-05,-3.2719995876119685,-3.1110848391125936,-8.471788008829703,8.67999709432166e-05,1.0638092208040652e-05,-6.457797210529044,-0.16239724056042884,0.0031114148581147002
